evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract,articles/5/pmid,articles/5/title,articles/5/journal,articles/5/pubDate,articles/5/volume,articles/5/issue,articles/5/pages,articles/5/authors,articles/5/elocationId,articles/5/link,articles/5/reference,articles/5/abstract,articles/6/pmid,articles/6/title,articles/6/journal,articles/6/pubDate,articles/6/volume,articles/6/issue,articles/6/pages,articles/6/authors,articles/6/elocationId,articles/6/link,articles/6/reference,articles/6/abstract
19698,GENE_BACKGROUND,,"Inhibin alpha (INHA) encodes for the alpha subunit of inhibin A and B protein complex which negatively regulates FSH secretion and negatively regulates gonadal stroma cell proliferation (PMID: 3086749, 6769050, 3092356). Inhibin also regulates erythroid differentiation and placenta development (PMID: 3696240, 3299703). Inhibin has tumor suppressive functions in the gonades, as inhibin loss in gonadal tissue leads to tumor formation (PMID: 1448148). Certain single-nucleotide polymorphisms in INHA are associated with an increased risk of testicular germ cell tumors (PMID: 18413775).",,2017-01-17,,3623,INHA,inhibin alpha subunit,False,ENST00000243786,NM_002191.3,False,3086749,Pituitary FSH is released by a heterodimer of the beta-subunits from the two forms of inhibin.,Nature,0001-06-19,321,6072,779-82,Ling N et al,,,0001-06-19,,6769050,Inhibin is absent from azoospermic semen of infertile men.,Nature,0001-05-22,285,5762,246-7,Scott RS et al,,,0001-05-22,,3092356,Inhibin-mediated feedback control of follicle-stimulating hormone secretion in the female rat.,"Science (New York, N.Y.)",0001-10-10,234,4773,205-8,Rivier C et al,,,0001-10-10,,3696240,Importance of FSH-releasing protein and inhibin in erythrodifferentiation.,Nature,0001-12-24,330,6150,765-7,Yu J et al,,,0001-12-24,,18413775,Genetic variation in the inhibin pathway and risk of testicular germ cell tumors.,Cancer research,2018-04-15T20:08:00,68,8,3043-8,Purdue MP et al,doi: 10.1158/0008-5472.CAN-07-5852,,0001-04-15,,1448148,Alpha-inhibin is a tumour-suppressor gene with gonadal specificity in mice.,Nature,0001-11-26,360,6402,313-9,Matzuk MM et al,,,0001-11-26,,3299703,"Localization, secretion, and action of inhibin in human placenta.","Science (New York, N.Y.)",0001-07-10,237,4811,187-9,Petraglia F et al,,,0001-07-10,
19697,GENE_SUMMARY,,INHA is a negative regulator of FSH and acts as a tumor suppressor in gonadal tumors.,,2017-01-17,,3623,INHA,inhibin alpha subunit,False,ENST00000243786,NM_002191.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
