evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/geneAliases/0,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract
18900,GENE_BACKGROUND,,"PPP4R2 encodes a regulatory subunit of the protein phosphatase 4 (PPP4C), a protein serine/threonine phosphatase that has been implicated in microtubule organization at centrosomes. PPP4R2 may be instrumental in targeting PPP4 catalytic subunit (PPP4c) to the centrosomes, and may also regulate (inhibit) the activity of PPP4c at centrosomal microtubule organizing centers (PMID: 10769191). PPP4R2 interacts with Survival of Motor Neurons (SMN) protein complex and is essential for differentiation of neuronal cells (PMID: 22559936) as well as for temporal localization of small nuclear ribonucleoproteins (snRNPs), suggesting a role in maturation of spliceosomal snRNPs (PMID: 12668731). PPP4R2 is part of a conserved ternary complex including PPP4R3 and PPP4c that mediates dephosphorylation of RPA2 and γH2AX, and is required for DNA double strand break repair (PMID: 18614045, 20154705).",,2017-05-15,,151987,PPP4R2,protein phosphatase 4 regulatory subunit 2,False,ENST00000356692,NM_174907.2,PP4R2,False,22559936,"PPP4R2 regulates neuronal cell differentiation and survival, functionally cooperating with SMN.",European journal of cell biology,2018-08-01T20:12:00,91,8,662-74,Bosio Y et al,doi: 10.1016/j.ejcb.2012.03.002,,0001-08-01,,10769191,A novel 50 kDa protein forms complexes with protein phosphatase 4 and is located at centrosomal microtubule organizing centres.,The Biochemical journal,2018-05-01T20:00:00,347 Pt 3,,845-55,Hastie CJ et al,,,0001-05-01,,18614045,A PP4-phosphatase complex dephosphorylates gamma-H2AX generated during DNA replication.,Molecular cell,2018-07-11T20:08:00,31,True,33-46,Chowdhury D et al,doi: 10.1016/j.molcel.2008.05.016,,0001-07-11,,12668731,Protein phosphatase 4 interacts with the Survival of Motor Neurons complex and enhances the temporal localisation of snRNPs.,Journal of cell science,2018-05-15T20:03:00,116,Pt 10,1905-13,Carnegie GK et al,,,0001-05-15,,20154705,A PP4 phosphatase complex dephosphorylates RPA2 to facilitate DNA repair via homologous recombination.,Nature structural &amp; molecular biology,2018-03-01T20:10:00,17,3,365-72,Lee DH et al,doi: 10.1038/nsmb.1769,,0001-03-01,
18899,GENE_SUMMARY,,"PPP4R2, a regulatory subunit of a protein phosphatase, plays a vital role in DNA double strand break repair.",,2017-05-15,,151987,PPP4R2,protein phosphatase 4 regulatory subunit 2,False,ENST00000356692,NM_174907.2,PP4R2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
