evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/geneAliases/0,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract,articles/5/pmid,articles/5/title,articles/5/journal,articles/5/pubDate,articles/5/volume,articles/5/issue,articles/5/pages,articles/5/authors,articles/5/elocationId,articles/5/link,articles/5/reference,articles/5/abstract,articles/6/pmid,articles/6/title,articles/6/journal,articles/6/pubDate,articles/6/volume,articles/6/issue,articles/6/pages,articles/6/authors,articles/6/elocationId,articles/6/link,articles/6/reference,articles/6/abstract
18425,GENE_SUMMARY,,"PRDM14, a transcriptional regulator, is amplified and overexpressed in breast cancer.",,2017-03-28,,63978,PRDM14,PR domain 14,False,ENST00000276594,NM_024504.3,PFM11,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18426,GENE_BACKGROUND,,"The PRDM14 gene encodes a zinc-finger protein that acts as a transcriptional regulator. It belongs to the PRDM family of genes, which exert both positive and negative roles in the transcription of genes involved in development, and either possess or enhance histone methyltransferase activity (PMID: 22669819, 22028065). PRDM14 plays an important role in the establishment of germ cell lineage in mice (PMID: 18665129, 18622394). Additionally, PRDM14 is required for the maintenance of human embryonic stem cell (hESC) identity, and enhances the reprogramming of human fibroblasts into hESC by co-regulating the expression of key genes (PMID: 20953172, 24268575). PRDM14 overexpression in breast cancer cells leads to increased growth and colony formation capabilities and decreased apoptosis (PMID: 17942894). PRDM14 is overexpressed or amplified in a subset of breast and prostate cancers (PMID: 17942894; cBioPortal, MSKCC, Dec. 2016).",,2017-03-28,,63978,PRDM14,PR domain 14,False,ENST00000276594,NM_024504.3,PFM11,False,18622394,Critical function of Prdm14 for the establishment of the germ cell lineage in mice.,Nature genetics,2018-08-01T20:08:00,40,8,1016-22,Yamaji M et al,doi: 10.1038/ng.186,,0001-08-01,,18665129,One PRDM is not enough for germ cell development.,Nature genetics,2018-08-01T20:08:00,40,8,934-5,Bikoff EK et al,doi: 10.1038/ng0808-934,,0001-08-01,,24268575,"Tsix RNA and the germline factor, PRDM14, link X reactivation and stem cell reprogramming.",Molecular cell,2017-12-26T20:13:00,52,6,805-18,Payer B et al,doi: 10.1016/j.molcel.2013.10.023,,0001-12-26,,20953172,A genome-wide RNAi screen reveals determinants of human embryonic stem cell identity.,Nature,2018-11-11T20:10:00,468,7321,316-20,Chia NY et al,doi: 10.1038/nature09531,,0001-11-11,,22669819,The Prdm family: expanding roles in stem cells and development.,"Development (Cambridge, England)",2018-07-01T20:12:00,139,13,2267-82,Hohenauer T et al,doi: 10.1242/dev.070110,,0001-07-01,,22028065,PRDM proteins: important players in differentiation and disease.,"BioEssays : news and reviews in molecular, cellular and developmental biology",2018-01-01T20:12:00,34,True,50-60,Fog CK et al,doi: 10.1002/bies.201100107,,0001-01-01,,17942894,Gene amplification and overexpression of PRDM14 in breast cancers.,Cancer research,2018-10-15T20:07:00,67,20,9649-57,Nishikawa N et al,,,0001-10-15,
