evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract,articles/5/pmid,articles/5/title,articles/5/journal,articles/5/pubDate,articles/5/volume,articles/5/issue,articles/5/pages,articles/5/authors,articles/5/elocationId,articles/5/link,articles/5/reference,articles/5/abstract
19614,GENE_SUMMARY,,"The MSI1 protein plays a role in translationalregulation of cell fate, and is associated with grade and proliferative activity in gliomas and melanomas.",,2017-07-28,,4440,MSI1,musashi RNA binding protein 1,False,ENST00000257552,NM_002442.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19615,GENE_BACKGROUND,,"MSI1 encodes the RNA-binding protein Musashi1, whichbinds to consensus RNA sequence GU3-5(G or AG) on specific mRNAs, and controls their expression by translational repression. In mammals, the Musashi family of RNA-binding proteins is known to be important for cell fate determination, neural development, and maintenance of stem-cell state, differentiation, and tumorigenesis. Musashi-1 protein is selectively expressed in neural progenitor cells, including neural stem cells (PMID: 9790759). Musashi-1protein, in co-operation with Musashi-2, activates Notch signaling through translational repression of mNumb mRNA, an intracellular Notch signal repressor, and maintains the self-renewingability of neural stem cells (NSCs) (PMID: 15925591). Musashi-1-mediated activation of the Wnt pathway also serves to sustain mammary gland stem cell pools (PMID: 18362162). In addition, Musashi-1 is aselective marker for intestinal stem or early lineage cells (PMID: 12924647, 15925591). Elevated Musashi-1 expression is present in gliomas and glioblastomas, and correlates with the malignancy and proliferativeactivity of the tumor (PMID: 11284014, 11896183).",,2017-03-28,,4440,MSI1,musashi RNA binding protein 1,False,ENST00000257552,NM_002442.3,False,11284014,Expression of the neural RNA-binding protein Musashi1 in human gliomas.,Glia,2018-04-01T20:01:00,34,True,2001-01-07,Toda M et al,,,0001-04-01,,18362162,Musashi1 modulates mammary progenitor cell expansion through proliferin-mediated activation of the Wnt and Notch pathways.,Molecular and cellular biology,2018-06-01T20:08:00,28,11,3589-99,Wang XY et al,doi: 10.1128/MCB.00040-08,,0001-06-01,,12924647,Expression of Musashi-1 in human normal colon crypt cells: a possible stem cell marker of human colon epithelium.,Digestive diseases and sciences,2018-08-01T20:03:00,48,8,1523-9,Nishimura S et al,,,0001-08-01,,11896183,Musashi: a translational regulator of cell fate.,Journal of cell science,2018-04-01T20:02:00,115,Pt 7,1355-9,Okano H et al,,,0001-04-01,,15925591,Function of RNA-binding protein Musashi-1 in stem cells.,Experimental cell research,2018-06-10T20:05:00,306,2,349-56,Okano H et al,,,0001-06-10,,9790759,"The human Musashi homolog 1 (MSI1) gene encoding the homologue of Musashi/Nrp-1, a neural RNA-binding protein putatively expressed in CNS stem cells and neural progenitor cells.",Genomics,0001-09-15,52,3,382-4,Good P et al,,,0001-09-15,
