evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/geneAliases/0,gene/geneAliases/1,gene/geneAliases/2,gene/geneAliases/3,gene/geneAliases/4,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract,articles/5/pmid,articles/5/title,articles/5/journal,articles/5/pubDate,articles/5/volume,articles/5/issue,articles/5/pages,articles/5/authors,articles/5/elocationId,articles/5/link,articles/5/reference,articles/5/abstract
17753,GENE_SUMMARY,,CDKN1B encodes the p27 tumor suppressor that regulates of cell cycle progression. Germline mutations of CDKN1B are associated with multiple endocrine neoplasia (MEN).,,2017-04-26,,1027,CDKN1B,cyclin dependent kinase inhibitor 1B,False,ENST00000228872,NM_004064.3,CDKN4,MEN1B,MEN4,P27KIP1,KIP1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17754,GENE_BACKGROUND,,"The CDKN1B gene encodes cyclin-dependent kinase (CDK) inhibitor 1B, also called p27, which is a member of the Cip/Kip protein family. The p27 protein is ubiquitously expressed and located both in the nucleus and in the cytoplasm (PMID: 8033212). Nuclear p27 functions as a tumor suppressor by controlling cell cycle progression from G1 to S phase, specifically by inhibiting the binding of cyclin A and E to CDK2 (PMID: 18354415). Conversely, cytoplasmic p27 has a pro-oncogenic role by stimulating cell migration through mechanisms largely independent of its CDK-inhibiting function (PMID: 15573116, 17909030). Although genetic deletion and inhibited transcription of CDKN1B are rare in human cancer, low p27 levels due to increased protein degradation are prevalent in several different types of epithelial tumors, and are commonly correlated with aggressive tumor growth and poor clinical outcome (PMID: 15573116, 12507555, 10699961).",,2017-04-26,,1027,CDKN1B,cyclin dependent kinase inhibitor 1B,False,ENST00000228872,NM_004064.3,CDKN4,MEN1B,MEN4,P27KIP1,KIP1,True,18354415,The Cdk inhibitor p27 in human cancer: prognostic potential and relevance to anticancer therapy.,Nature reviews. Cancer,2018-04-01T20:08:00,8,4,253-67,Chu IM et al,doi: 10.1038/nrc2347,,0001-04-01,,17909030,Relocalized p27Kip1 tumor suppressor functions as a cytoplasmic metastatic oncogene in melanoma.,Cancer research,2018-10-01T20:07:00,67,19,9238-43,Denicourt C et al,,,0001-10-01,,10699961,Regulation of the cdk inhibitor p27 and its deregulation in cancer.,Journal of cellular physiology,2018-04-01T20:00:00,183,True,2001-10-07,Slingerland J et al,,,0001-04-01,,8033212,"Cloning of p27Kip1, a cyclin-dependent kinase inhibitor and a potential mediator of extracellular antimitogenic signals.",Cell,0001-07-15,78,True,59-66,Polyak K et al,,,0001-07-15,,15573116,Regulation of the cytoskeleton: an oncogenic function for CDK inhibitors?,Nature reviews. Cancer,2017-12-01T20:04:00,4,12,948-55,Besson A et al,,,0001-12-01,,12507555,Deregulated degradation of the cdk inhibitor p27 and malignant transformation.,Seminars in cancer biology,2018-02-01T20:03:00,13,True,2041-07-01,Bloom J et al,,,0001-02-01,
