evidenceId,evidenceType,shortDesc,desc,id,lastEdit,status,gene/entrezGeneId,gene/hugoSymbol,gene/name,gene/oncogene,gene/curatedIsoform,gene/curatedRefSeq,gene/geneAliases/0,gene/geneAliases/1,gene/geneAliases/2,gene/geneAliases/3,gene/geneAliases/4,gene/geneAliases/5,gene/tsg,articles/0/pmid,articles/0/title,articles/0/journal,articles/0/pubDate,articles/0/volume,articles/0/issue,articles/0/pages,articles/0/authors,articles/0/elocationId,articles/0/link,articles/0/reference,articles/0/abstract,articles/1/pmid,articles/1/title,articles/1/journal,articles/1/pubDate,articles/1/volume,articles/1/issue,articles/1/pages,articles/1/authors,articles/1/elocationId,articles/1/link,articles/1/reference,articles/1/abstract,articles/2/pmid,articles/2/title,articles/2/journal,articles/2/pubDate,articles/2/volume,articles/2/issue,articles/2/pages,articles/2/authors,articles/2/elocationId,articles/2/link,articles/2/reference,articles/2/abstract,articles/3/pmid,articles/3/title,articles/3/journal,articles/3/pubDate,articles/3/volume,articles/3/issue,articles/3/pages,articles/3/authors,articles/3/elocationId,articles/3/link,articles/3/reference,articles/3/abstract,articles/4/pmid,articles/4/title,articles/4/journal,articles/4/pubDate,articles/4/volume,articles/4/issue,articles/4/pages,articles/4/authors,articles/4/elocationId,articles/4/link,articles/4/reference,articles/4/abstract,articles/5/pmid,articles/5/title,articles/5/journal,articles/5/pubDate,articles/5/volume,articles/5/issue,articles/5/pages,articles/5/authors,articles/5/elocationId,articles/5/link,articles/5/reference,articles/5/abstract
9517,GENE_SUMMARY,,"PIK3CG encodes a kinase involved in modulation of the extracellular signal. Inactivating mutations of PIK3CG are found in uterine, endometrial, skin and lung cancers, among others.",,2017-03-17,,5294,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",True,ENST00000359195,NM_002649.2,PI3K,PIK3,p120-PI3K,PI3CG,p110gamma,PI3Kgamma,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9518,GENE_BACKGROUND,,"PIK3CG (phosphatidelinositol-4,5-bisphophsphate3-kinase catalytic subunit gamma), also known as p110-gamma, is a class I catalytic subunit of PI3-kinase and acts as a lipid and protein kinase that phosphorylates phosphoinositides (PMID: 17290298). PIK3CG is involved in extracellular signaling and linking cell-surface receptors to intracellular signaling networks, such as the PI3-kinase/AKT pathway (PMID:12040186). Once activated, AKT-mTOR downstream signaling promotes cell survival, proliferation, growth and motility (PMID: 16341083). PIK3CG is primarily expressed in white blood cells, and through its direct interactions with RAS and G-protein coupled receptors (GPCRs) (PMID:12507995) is important in immune cell responses and inflammatory stimuli (PMID:10669418). Deletions of PIK3CG are often found in myeloid malignancies, and PIK3CG is thought to be a tumor suppressor in these settings (PMID: 11756194).",,2017-10-19,,5294,PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",True,ENST00000359195,NM_002649.2,PI3K,PIK3,p120-PI3K,PI3CG,p110gamma,PI3Kgamma,False,16341083,Oncogenic PI3K deregulates transcription and translation.,Nature reviews. Cancer,2017-12-01T20:05:00,5,12,921-9,Bader AG et al,,,0001-12-01,,11756194,Genomic structure of the PIK3CG gene on chromosome band 7q22 and evaluation as a candidate myeloid tumor suppressor.,Blood,2018-01-01T20:02:00,99,True,372-4,Kratz CP et al,,,0001-01-01,,12040186,The phosphoinositide 3-kinase pathway.,"Science (New York, N.Y.)",2018-05-31T20:02:00,296,5573,1655-7,Cantley LC,,,0001-05-31,,10669418,Central role for G protein-coupled phosphoinositide 3-kinase gamma in inflammation.,"Science (New York, N.Y.)",2018-02-11T20:00:00,287,5455,1049-53,Hirsch E et al,,,0001-02-11,,17290298,PI3K delta and PI3K gamma: partners in crime in inflammation in rheumatoid arthritis and beyond?,Nature reviews. Immunology,2018-03-01T20:07:00,7,3,191-201,Rommel C et al,,,2018-03-01T02:01:00,,12507995,Roles of G beta gamma in membrane recruitment and activation of p110 gamma/p101 phosphoinositide 3-kinase gamma.,The Journal of cell biology,2018-01-06T20:03:00,160,True,89-99,Brock C et al,,,0001-01-06,
