,References_id
0,MET,4233,"['MET', 'AUTS9', 'c-Met', 'DFNB97', 'HGFR', 'RCCP2']",262
0,MPL,4352,"['MPL', 'C-MPL', 'CD110', 'MPLV', 'THCYT2', 'TPOR']",263
0,MYD88,4615,"['MYD88', 'MYD88D']",266
0,NOTCH1,4851,"['NOTCH1', 'AOS5', 'AOVD1', 'hN1', 'TAN1']",269
0,PDGFRA,5156,"['PDGFRA', 'CD140A', 'PDGFR-2', 'PDGFR2']",271
0,PIK3CA,5290,"['PIK3CA', 'CLOVE', 'CWS5', 'MCAP', 'MCM', 'MCMTC', 'p110-alpha', 'PI3K', 'PI3K-alpha']",273
0,SMO,6608,"['SMO', 'CRJS', 'FZD11', 'Gx', 'SMOH']",274
0,PTEN,5728,"['PTEN', '10q23del', 'BZS', 'CWS1', 'DEC', 'GLM2', 'MHAM', 'MMAC1', 'PTEN1', 'PTENbeta', 'TEP1']",276
0,PTPN11,5781,"['PTPN11', 'BPTP3', 'CFC', 'JMML', 'METCDS', 'NS1', 'PTP-1D', 'PTP2C', 'SH-PTP2', 'SH-PTP3', 'SHP2']",277
0,RET,5979,"['RET', 'CDHF12', 'CDHR16', 'HSCR1', 'MEN2A', 'MEN2B', 'MTC1', 'PTC', 'RET-ELE1']",279
0,ROS1,6098,"['ROS1', 'c-ros-1', 'MCF3', 'ROS']",280
0,RUNX1,861,"['RUNX1', 'AML1', 'AML1-EVI-1', 'AMLCR1', 'CBF2alpha', 'CBFA2', 'EVI-1', 'PEBP2aB', 'PEBP2alpha']",281
0,SMAD4,4089,"['SMAD4', 'DPC4', 'JIP', 'MADH4', 'MYHRS']",282
0,SMARCB1,6598,"['SMARCB1', 'BAF47', 'CSS3', 'hSNFS', 'INI1', 'MRD15', 'PPP1R144', 'RDT', 'RTPS1', 'Sfh1p', 'SNF5', 'SNF5L1', 'Snr1', 'SWNTS1']",283
0,SRC,6714,"['SRC', 'ASV', 'c-SRC', 'p60-Src', 'SRC1', 'THC6']",284
0,VHL,7428,"['VHL', 'HRCA1', 'pVHL', 'RCA1', 'VHL1']",290
0,RB1,5925,"['RB1', 'OSRC', 'p105-Rb', 'pp110', 'PPP1R130', 'pRb', 'RB']",393
0,FOXL2,668,"['FOXL2', 'BPES', 'BPES1', 'PFRK', 'PINTO', 'POF3']",762
0,TET2,54790,"['TET2', 'KIAA1546', 'MDS']",897
0,BCOR,54880,"['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']",1120
0,BCOR,54880,"['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']",1121
0,BCOR,54880,"['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']",1122
0,BCOR,54880,"['BCOR', 'ANOP2', 'MAA2', 'MCOPS2']",1154
0,ETV6,2120,"['ETV6', 'TEL', 'TEL/ABL', 'THC5']",1203
0,GATA2,2624,"['GATA2', 'DCML', 'IMD21', 'MONOMAC', 'NFE1B']",1240
0,GATA1,2623,"['GATA1', 'ERYF1', 'GATA-1', 'GF-1', 'GF1', 'NF-E1', 'NFE1', 'XLANP', 'XLTDA', 'XLTT']",1276
0,GATA1,2623,"['GATA1', 'ERYF1', 'GATA-1', 'GF-1', 'GF1', 'NF-E1', 'NFE1', 'XLANP', 'XLTDA', 'XLTT']",1277
0,HNF1A,6927,"['HNF1A', 'HNF-1A', 'HNF1', 'IDDM20', 'LFB1', 'MODY3', 'TCF-1', 'TCF1']",1344
0,IKZF1,10320,"['IKZF1', 'CVID13', 'Hs.54452', 'IK1', 'IKAROS', 'LyF-1', 'LYF1', 'PPP1R92', 'PRO0758', 'ZNFN1A1']",1434
0,IKZF1,10320,"['IKZF1', 'CVID13', 'Hs.54452', 'IK1', 'IKAROS', 'LyF-1', 'LYF1', 'PPP1R92', 'PRO0758', 'ZNFN1A1']",1435
0,MSH6,2956,"['MSH6', 'GTBP', 'GTMBP', 'HNPCC5', 'HSAP', 'p160']",1519
0,MSH6,2956,"['MSH6', 'GTBP', 'GTMBP', 'HNPCC5', 'HSAP', 'p160']",1520
0,NPM1,4869,"['NPM1', 'B23', 'NPM']",1521
0,KDM6A,7403,"['KDM6A', 'bA386N14.2', 'KABUK2', 'UTX']",1586
0,KDM6A,7403,"['KDM6A', 'bA386N14.2', 'KABUK2', 'UTX']",1593
0,SETBP1,26040,"['SETBP1', 'MRD29', 'SEB']",1597
0,SETBP1,26040,"['SETBP1', 'MRD29', 'SEB']",1598
0,SRSF2,6427,"['SRSF2', 'PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRp30b']",1657
0,SRSF2,6427,"['SRSF2', 'PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRp30b']",1658
0,STAG2,10735,"['STAG2', 'bA517O1.1', 'SA-2', 'SA2', 'SCC3B']",1659
0,STAG2,10735,"['STAG2', 'bA517O1.1', 'SA-2', 'SA2', 'SCC3B']",1660
0,U2AF1,7307,"['U2AF1', 'FP793', 'RN', 'RNU2AF1', 'U2AF35', 'U2AFBP']",1724
0,U2AF1,7307,"['U2AF1', 'FP793', 'RN', 'RNU2AF1', 'U2AF35', 'U2AFBP']",1725
0,U2AF1,7307,"['U2AF1', 'FP793', 'RN', 'RNU2AF1', 'U2AF35', 'U2AFBP']",1726
0,U2AF1,7307,"['U2AF1', 'FP793', 'RN', 'RNU2AF1', 'U2AF35', 'U2AFBP']",1727
