id,geneSymbol,terms
4297,KMT2A,"['KMT2A', 'ALL-1', 'CXXC7', 'HRX', 'HTRX1', 'MLL', 'MLL1', 'MLL1A', 'TRX1', 'WDSTS']"
3845,KRAS,"['KRAS', 'C-K-RAS', 'c-Ki-ras2', 'CFC2', 'K-Ras', 'K-RAS2A', 'K-RAS2B', 'K-RAS4A', 'K-RAS4B', 'KI-RAS', 'KRAS1', 'KRAS2', 'NS', 'NS3', 'RALD', 'RASK2']"
5604,MAP2K1,"['MAP2K1', 'CFC3', 'MAPKK1', 'MEK1', 'MKK1', 'PRKMK1']"
4233,MET,"['MET', 'AUTS9', 'c-Met', 'DFNB97', 'HGFR', 'RCCP2']"
4292,MLH1,"['MLH1', 'COCA2', 'FCC2', 'hMLH1', 'HNPCC', 'HNPCC2']"
4352,MPL,"['MPL', 'C-MPL', 'CD110', 'MPLV', 'THCYT2', 'TPOR']"
2956,MSH6,"['MSH6', 'GTBP', 'GTMBP', 'HNPCC5', 'HSAP', 'p160']"
4615,MYD88,"['MYD88', 'MYD88D']"
4851,NOTCH1,"['NOTCH1', 'AOS5', 'AOVD1', 'hN1', 'TAN1']"
4869,NPM1,"['NPM1', 'B23', 'NPM']"
4893,NRAS,"['NRAS', 'ALPS4', 'CMNS', 'N-ras', 'NCMS', 'NRAS1', 'NS6']"
5156,PDGFRA,"['PDGFRA', 'CD140A', 'PDGFR-2', 'PDGFR2']"
84295,PHF6,"['PHF6', 'BFLS', 'BORJ', 'CENP-31']"
5290,PIK3CA,"['PIK3CA', 'CLOVE', 'CWS5', 'MCAP', 'MCM', 'MCMTC', 'p110-alpha', 'PI3K', 'PI3K-alpha']"
5728,PTEN,"['PTEN', '10q23del', 'BZS', 'CWS1', 'DEC', 'GLM2', 'MHAM', 'MMAC1', 'PTEN1', 'PTENbeta', 'TEP1']"
5781,PTPN11,"['PTPN11', 'BPTP3', 'CFC', 'JMML', 'METCDS', 'NS1', 'PTP-1D', 'PTP2C', 'SH-PTP2', 'SH-PTP3', 'SHP2']"
5885,RAD21,"['RAD21', 'CDLS4', 'hHR21', 'HR21', 'HRAD21', 'MCD1', 'NXP1', 'SCC1']"
5925,RB1,"['RB1', 'OSRC', 'p105-Rb', 'pp110', 'PPP1R130', 'pRb', 'RB']"
5979,RET,"['RET', 'CDHF12', 'CDHR16', 'HSCR1', 'MEN2A', 'MEN2B', 'MTC1', 'PTC', 'RET-ELE1']"
6098,ROS1,"['ROS1', 'c-ros-1', 'MCF3', 'ROS']"
861,RUNX1,"['RUNX1', 'AML1', 'AML1-EVI-1', 'AMLCR1', 'CBF2alpha', 'CBFA2', 'EVI-1', 'PEBP2aB', 'PEBP2alpha']"
26040,SETBP1,"['SETBP1', 'MRD29', 'SEB']"
23451,SF3B1,"['SF3B1', 'Hsh155', 'MDS', 'PRP10', 'PRPF10', 'SAP155', 'SF3b155']"
4089,SMAD4,"['SMAD4', 'DPC4', 'JIP', 'MADH4', 'MYHRS']"
6598,SMARCB1,"['SMARCB1', 'BAF47', 'CSS3', 'hSNFS', 'INI1', 'MRD15', 'PPP1R144', 'RDT', 'RTPS1', 'Sfh1p', 'SNF5', 'SNF5L1', 'Snr1', 'SWNTS1']"
9126,SMC3,"['SMC3', 'BAM', 'BMH', 'CDLS3', 'CSPG6', 'HCAP', 'SMC3L1']"
6608,SMO,"['SMO', 'CRJS', 'FZD11', 'Gx', 'SMOH']"
6714,SRC,"['SRC', 'ASV', 'c-SRC', 'p60-Src', 'SRC1', 'THC6']"
6427,SRSF2,"['SRSF2', 'PR264', 'SC-35', 'SC35', 'SFRS2', 'SFRS2A', 'SRp30b']"
10735,STAG2,"['STAG2', 'bA517O1.1', 'SA-2', 'SA2', 'SCC3B']"
6794,STK11,"['STK11', 'hLKB1', 'LKB1', 'PJS']"
54790,TET2,"['TET2', 'KIAA1546', 'MDS']"
7157,TP53,"['TP53', 'BCC7', 'LFS1', 'P53', 'TRP53']"
7307,U2AF1,"['U2AF1', 'FP793', 'RN', 'RNU2AF1', 'U2AF35', 'U2AFBP']"
7428,VHL,"['VHL', 'HRCA1', 'pVHL', 'RCA1', 'VHL1']"
8233,ZRSR2,"['ZRSR2', 'U2AF1-RS2', 'U2AF1L2', 'U2AF1RS2', 'URP', 'ZC3H22']"
